id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,The Overhead water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank?,Are there any devices connected to see the water level?,What is the frequency of technical maintenance or safety audit ?
711,Water,Over Head Tanks,Papumpare,Kimin,Durpa,27.302290000000003,93.96906,pakka road,3g reliable,airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,financial support#technical support#support via schemes,mixes with the near by water bodies,yes,concrete,yes,5000.0,1,1,no,monthly
1412,Water,Over Head Tanks,Lower Subansiri,Ziro,Hari,27.584570000000003,93.84316,pakka road with block point,3g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,support via schemes,mixes with the near by water bodies,no,concrete,no,6000.0,4,3,no,irregular
1447,Water,Over Head Tanks,East Siang,Oyan,Sika Bamin,27.9138,95.34577,pakka road,4g+ reliable,jio#airtel#vodafone,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,technical support,others,no,concrete,no,60000.0,2,1,no,yearly
1450,Water,Over Head Tanks,East Siang,Oyan,Sika Bamin,27.91331,95.34676999999999,pakka road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,none,discarded in govt. designated structures,yes,concrete,no,4000.0,1,1,no,yearly
1540,Water,Over Head Tanks,East Siang,Mebo,Mottum,28.07828,95.44065,kacha road,4g+ reliable,jio,"pakka/permenant(steel,concrete,etc.,)",watchman#compound wall\/ fencing,technical support#financial support,discarded in open field,yes,concrete,no,20000.0,3,3,yes,monthly
1541,Water,Over Head Tanks,East Siang,Mebo,Mottum,28.07807,95.44046999999999,kacha road,4g+ reliable,jio,"pakka/permenant(steel,concrete,etc.,)",watchman#compound wall\/ fencing,technical support#financial support,discarded in open field,no,steel,no,10000.0,1,1,no,never
1664,Water,Over Head Tanks,East Siang,Oyan,Rani,27.96565,95.31075,kacha road,4g+ reliable,airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,none,none,no,concrete,no,85000.0,3,3,no,monthly
1668,Water,Over Head Tanks,East Siang,Oyan,Oyan Village,27.87923,95.31424,pakka road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",none,financial support,discarded in open field,yes,concrete,no,62.0,3,2,no,monthly
1669,Water,Over Head Tanks,East Siang,Mebo,Mebo,28.169659999999997,95.41738000000001,kacha road,4g+ reliable,airtel#jio,"pakka/permenant(steel,concrete,etc.,)",none,technical support,discarded in open field,no,concrete,yes,40000.0,4,2,yes,irregular
1673,Water,Over Head Tanks,East Siang,Oyan,Oyan Village,27.875429999999998,95.31236,pakka road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,financial support,discarded in open field,yes,concrete,no,30.0,3,2,no,monthly
1676,Water,Over Head Tanks,East Siang,Oyan,Oyan Village,27.87705,95.31021,kacha road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",none,financial support,mixes with the near by water bodies,yes,steel,no,22.5,3,2,no,monthly
